experimento,duracao
void,2.03578782081604
long,2.0384409427642822
oito_long,2.0345711708068848
string,2.043370008468628
void,2.031507730484009
long,2.0412521362304688
oito_long,2.023756265640259
string,2.0306782722473145
void,2.0174202919006348
long,2.0503432750701904
oito_long,2.0406484603881836
string,2.0444154739379883
void,2.042849540710449
long,2.042126417160034
oito_long,2.0281200408935547
string,2.0334932804107666
void,2.035726308822632
long,2.0431811809539795
oito_long,2.0348703861236572
string,2.022282600402832
void,2.055328369140625
long,2.038645029067993
oito_long,2.0387327671051025
string,2.0280845165252686
void,2.0364153385162354
long,2.0291528701782227
oito_long,2.0257744789123535
string,2.0144245624542236
void,2.0258100032806396
long,2.0372836589813232
oito_long,2.0443203449249268
string,2.033268690109253
void,2.034003734588623
long,2.0280375480651855
oito_long,2.0376698970794678
string,2.027940034866333
void,2.0321645736694336
long,2.0434582233428955
oito_long,2.0311384201049805
string,2.047647476196289
