,experimento,duracao
0,void,2.03578782081604
1,long,2.0384409427642822
2,oito_long,2.0345711708068848
3,string,2.043370008468628
4,void,2.031507730484009
5,long,2.0412521362304688
6,oito_long,2.023756265640259
7,string,2.0306782722473145
8,void,2.0174202919006348
9,long,2.0503432750701904
10,oito_long,2.0406484603881836
11,string,2.0444154739379883
12,void,2.042849540710449
13,long,2.042126417160034
14,oito_long,2.0281200408935547
15,string,2.0334932804107666
16,void,2.035726308822632
17,long,2.0431811809539795
18,oito_long,2.0348703861236572
19,string,2.022282600402832
20,void,2.055328369140625
21,long,2.038645029067993
22,oito_long,2.0387327671051025
23,string,2.0280845165252686
24,void,2.0364153385162354
25,long,2.0291528701782227
26,oito_long,2.0257744789123535
27,string,2.0144245624542236
28,void,2.0258100032806396
29,long,2.0372836589813232
30,oito_long,2.0443203449249268
31,string,2.033268690109253
32,void,2.034003734588623
33,long,2.0280375480651855
34,oito_long,2.0376698970794678
35,string,2.027940034866333
36,void,2.0321645736694336
37,long,2.0434582233428955
38,oito_long,2.0311384201049805
39,string,2.047647476196289
